price,carat,cut,color,clarity,length_mm,width_mm
6303,1.2,Ideal,I,VS,6.83,6.86
4598,0.9,Very Good,E,VS,6.11,6.18
7727,1.54,Premium,I,SI,7.56,7.49
4412,1.01,Premium,F,SI,6.38,6.34
5215,1.36,Very Good,J,SI,7,7.12
4535,1.13,Ideal,H,SI,6.73,6.69
2241,0.83,Ideal,J,VS,6.08,6.03
1835,0.59,Ideal,D,SI,5.44,5.41
725,0.3,Very Good,G,VVS,4.32,4.35
1696,0.54,Ideal,H,VVS,5.25,5.27
571,0.36,Ideal,G,SI,4.58,4.62
4490,0.79,Premium,E,VVS,5.89,5.8
4471,1.02,Premium,G,SI,6.4,6.43
2846,0.7,Ideal,E,SI,5.71,5.76
905,0.43,Ideal,I,VVS,4.81,4.84
4114,0.7,Ideal,F,VVS,5.7,5.74
15231,1.02,Premium,D,IF,6.45,6.52
5804,1,Very Good,F,SI,6.38,6.43
491,0.3,Ideal,H,VS,4.31,4.36
9012,1.01,Good,F,VVS,6.33,6.39
2259,0.71,Very Good,H,SI,5.63,5.67
1003,0.44,Ideal,E,VS,4.9,4.92
1133,0.47,Very Good,G,SI,4.96,4.93
3489,0.9,Good,G,SI,6.04,6.12
4800,0.63,Very Good,D,IF,5.55,5.59
565,0.31,Ideal,D,SI,4.37,4.41
645,0.32,Very Good,F,VS,4.38,4.41
2935,0.8,Premium,H,VS,5.92,5.86
4318,1.08,Premium,G,SI,6.64,6.61
2415,0.75,Premium,G,SI,5.88,5.84
652,0.3,Ideal,F,VS,4.33,4.34
3823,1.01,Good,J,VS,6.29,6.33
4156,0.9,Good,H,VS,6.15,6.24
3507,1.01,Premium,F,SI,6.47,6.42
5407,1.21,Good,H,SI,6.72,6.63
1699,0.5,Premium,E,VS,5.13,5.11
1337,0.5,Very Good,H,VS,5.03,5.12
14857,2.07,Ideal,I,SI,8.12,8.23
2484,0.6,Fair,F,VVS,5.48,5.44
4115,0.91,Fair,H,VVS,6.38,6.4
1079,0.54,Very Good,I,SI,5.2,5.24
1197,0.5,Very Good,G,SI,5.06,5.1
969,0.41,Ideal,E,SI,4.77,4.74
5818,1.2,Good,I,VS,6.65,6.74
4718,1.02,Very Good,G,SI,6.41,6.37
6271,1.01,Premium,F,VS,6.59,6.51
1607,0.53,Ideal,E,VS,5.17,5.21
432,0.3,Very Good,H,SI,4.24,4.28
2018,0.5,Ideal,F,VVS,5.06,5.07
6078,1.33,Fair,G,SI,6.9,6.87
1749,0.7,Premium,H,SI,5.67,5.62
3780,0.72,Ideal,F,VVS,5.83,5.77
4078,0.9,Ideal,D,SI,6.16,6.24
6683,1.12,Ideal,G,VS,6.74,6.69
3669,0.9,Good,G,SI,6.12,6.09
13338,1.99,Good,J,VS,7.91,8.06
10483,1.6,Premium,E,SI,7.61,7.55
4879,1.32,Premium,H,SI,7.21,7.09
1911,0.52,Ideal,G,VVS,5.17,5.19
4781,1.01,Good,G,SI,6.24,6.31
1792,0.77,Premium,J,VS,5.86,5.8
692,0.34,Ideal,E,VS,4.45,4.48
1411,0.5,Very Good,H,VS,5.12,5.16
1237,0.5,Ideal,G,SI,5.06,5.08
5322,1,Premium,G,VS,6.39,6.33
3538,0.81,Ideal,E,VS,5.99,5.97
7508,1.2,Ideal,D,SI,6.76,6.83
1355,0.57,Ideal,I,VS,5.33,5.35
3107,0.76,Premium,E,VS,5.79,5.76
3581,0.9,Very Good,G,SI,6.19,6.23
11463,2.02,Premium,J,SI,7.98,8.1
557,0.33,Premium,I,SI,4.54,4.5
7961,1.09,Ideal,G,VS,6.61,6.65
552,0.3,Premium,D,SI,4.26,4.29
920,0.33,Very Good,D,VVS,4.39,4.46
4641,1.12,Premium,H,SI,6.77,6.72
1247,0.42,Very Good,E,VS,4.8,4.83
4042,0.54,Ideal,D,VVS,5.24,5.26
891,0.31,Ideal,G,IF,4.35,4.37
681,0.33,Ideal,D,VS,4.43,4.47
15301,1.57,Ideal,G,VS,7.53,7.6
566,0.27,Very Good,G,VVS,4.21,4.23
1708,0.51,Ideal,E,VS,5.17,5.24
5291,1.1,Ideal,I,VS,6.68,6.63
557,0.31,Ideal,I,VVS,4.37,4.4
8454,1.03,Ideal,G,VVS,6.39,6.47
1791,0.5,Good,G,VVS,5.06,5.02
3649,0.9,Very Good,G,SI,6.09,6.12
5777,1.01,Very Good,E,VS,6.41,6.45
3898,0.91,Premium,E,SI,6.16,6.13
16643,2.38,Premium,H,SI,8.81,8.78
8224,1.5,Ideal,H,VVS,7.37,7.28
10080,1.5,Premium,I,VS,7.3,7.25
10752,1,Premium,D,VVS,6.34,6.28
11234,2.06,Ideal,J,SI,8.19,8.23
367,0.3,Ideal,I,SI,4.32,4.34
1063,0.35,Ideal,D,VS,4.54,4.52
1844,0.7,Premium,J,SI,5.65,5.6
574,0.3,Very Good,D,SI,4.24,4.21
6569,1.02,Very Good,G,VS,6.45,6.48
7826,1.21,Very Good,F,VS,6.73,6.67
4455,1.08,Ideal,H,SI,6.71,6.74
6779,1.25,Ideal,D,SI,6.9,6.93
485,0.24,Very Good,E,VVS,3.97,4.01
16641,2.05,Very Good,J,VS,8.13,8.16
14150,2.01,Very Good,H,SI,8.02,7.97
2239,0.97,Ideal,I,I,6.4,6.43
5164,1.16,Premium,F,SI,6.76,6.71
5884,1.2,Very Good,I,VS,6.83,6.88
5554,1.16,Premium,H,SI,6.84,6.76
9333,1.24,Ideal,F,VS,6.89,6.87
2762,0.7,Very Good,F,VS,5.64,5.61
680,0.31,Ideal,E,VS,4.34,4.37
4725,1.1,Premium,I,SI,6.66,6.61
540,0.32,Premium,J,VS,4.46,4.42
10929,1.7,Premium,I,VS,7.6,7.55
882,0.38,Ideal,G,VS,4.64,4.68
1766,0.62,Premium,F,SI,5.56,5.51
1847,0.57,Premium,D,SI,5.36,5.34
1175,0.55,Ideal,F,SI,5.22,5.26
1333,0.4,Premium,G,IF,4.73,4.77
608,0.3,Premium,H,VS,4.29,4.25
1063,0.44,Premium,I,VVS,4.92,4.87
2964,0.9,Fair,J,VS,6.02,5.93
1607,0.53,Very Good,H,VS,5.16,5.13
918,0.32,Ideal,G,IF,4.41,4.44
461,0.32,Premium,H,SI,4.36,4.4
5303,1.01,Premium,H,VS,6.48,6.49
5021,1.39,Ideal,F,SI,7.2,7.15
10224,1.53,Premium,H,VS,7.49,7.52
1158,0.4,Ideal,E,VVS,4.74,4.79
1794,0.58,Premium,E,SI,5.38,5.33
4918,1.07,Ideal,H,SI,6.56,6.51
904,0.38,Good,E,VVS,4.59,4.61
3710,0.71,Ideal,F,VS,5.72,5.76
5014,1.14,Very Good,E,SI,6.71,6.78
6754,1.34,Premium,I,VS,7.07,7.04
11077,1.51,Very Good,H,VS,7.38,7.41
575,0.25,Very Good,E,VVS,4.07,4.14
1909,0.5,Premium,G,VVS,5.16,5.1
1637,0.54,Premium,H,VS,5.29,5.24
1822,0.52,Ideal,D,VS,5.16,5.2
765,0.34,Ideal,G,VS,4.53,4.48
844,0.38,Ideal,F,SI,4.7,4.72
4700,1.09,Premium,H,SI,6.61,6.55
8008,1,Premium,G,VVS,6.29,6.4
5450,1.11,Premium,H,VS,6.64,6.69
1608,0.56,Ideal,F,VS,5.28,5.32
739,0.35,Good,D,SI,4.69,4.64
2056,0.71,Good,H,SI,5.6,5.67
1453,0.54,Ideal,H,VS,5.25,5.28
4672,1.01,Very Good,G,SI,6.33,6.3
8936,1.5,Very Good,H,VS,7.32,7.37
8120,1.01,Premium,G,IF,6.35,6.31
3033,0.71,Very Good,D,VS,5.67,5.7
4258,1,Good,E,SI,6.35,6.43
1662,0.52,Ideal,G,VS,5.19,5.22
3161,0.71,Premium,D,VS,5.73,5.68
6632,1.02,Very Good,F,VS,6.56,6.6
4508,1.04,Very Good,F,SI,6.42,6.35
3524,0.7,Ideal,H,VVS,5.77,5.82
5708,1.04,Premium,D,SI,6.53,6.48
495,0.3,Ideal,I,VVS,4.25,4.3
1079,0.41,Ideal,E,VS,4.76,4.79
1114,0.33,Ideal,G,VVS,4.48,4.45
4121,1.01,Very Good,F,SI,6.44,6.48
4387,1.44,Premium,I,I,7.21,7.18
2098,1,Good,F,I,6.27,6.2
16198,2.42,Premium,J,SI,8.58,8.53
4279,0.91,Good,F,SI,6.1,6.17
1041,0.35,Ideal,G,IF,4.57,4.52
583,0.35,Good,F,SI,4.46,4.51
17460,2.2,Ideal,H,VS,8.41,8.38
1442,0.58,Ideal,D,SI,5.32,5.3
4268,0.9,Good,F,VS,6.03,6.07
1097,0.39,Ideal,E,VS,4.67,4.64
7655,1.34,Very Good,H,SI,7.04,7.09
4989,1.26,Very Good,J,SI,6.88,6.91
6061,1.11,Very Good,H,VS,6.61,6.53
12047,1.52,Premium,H,VS,7.46,7.39
1205,0.51,Premium,E,SI,5.22,5.19
596,0.34,Premium,G,VS,4.51,4.53
605,0.32,Premium,H,VS,4.35,4.33
683,0.41,Ideal,H,SI,4.77,4.81
984,0.33,Ideal,G,IF,4.42,4.46
5654,1.01,Very Good,D,SI,6.28,6.34
6568,1,Good,D,SI,6.41,6.45
2606,0.71,Very Good,E,SI,5.69,5.73
5194,1.06,Ideal,H,SI,6.62,6.58
804,0.32,Very Good,D,VVS,4.39,4.42
1323,0.5,Fair,D,SI,5,4.97
1170,0.39,Ideal,G,VVS,4.7,4.64
665,0.36,Premium,H,SI,4.65,4.61
2491,0.76,Premium,F,SI,5.83,5.74
3773,0.71,Ideal,E,VS,5.68,5.72
2610,0.71,Ideal,D,SI,5.74,5.78
11677,1.03,Very Good,D,VVS,6.39,6.43
574,0.34,Premium,G,SI,4.46,4.43
6059,1.03,Ideal,F,SI,6.51,6.55
10164,1.5,Very Good,I,VS,7.27,7.3
13653,1.5,Good,E,VS,7.18,7.16
6965,1.24,Premium,D,SI,6.91,6.87
1009,0.39,Premium,G,VS,4.7,4.67
1117,0.38,Premium,D,VS,4.77,4.72
6113,1.01,Good,D,VS,6.11,6.22
1767,0.51,Ideal,D,VS,5.21,5.2
5829,1,Good,F,VS,6.17,6.23
829,0.35,Premium,D,VS,4.53,4.58
1381,0.51,Premium,G,VS,5.17,5.2
6278,1.04,Premium,F,VS,6.62,6.56
868,0.33,Premium,G,VVS,4.46,4.5
911,0.3,Premium,E,VS,4.3,4.26
912,0.4,Ideal,E,VS,4.7,4.73
2259,0.55,Ideal,F,VVS,5.31,5.34
2039,0.7,Very Good,I,SI,5.64,5.68
731,0.3,Good,F,VS,4.28,4.26
1235,0.42,Premium,G,VVS,4.79,4.74
814,0.32,Ideal,H,IF,4.42,4.47
10809,1.16,Premium,F,VVS,6.9,6.77
9362,1.24,Ideal,G,VVS,6.88,6.92
3039,0.7,Very Good,G,VVS,5.67,5.7
2293,0.7,Premium,H,VS,5.71,5.66
1167,0.31,Premium,D,IF,4.39,4.42
18693,2.19,Ideal,D,SI,8.23,8.49
1927,0.62,Ideal,D,SI,5.48,5.5
3130,0.74,Ideal,G,SI,5.81,5.83
452,0.31,Ideal,I,VS,4.35,4.38
1197,0.42,Very Good,D,VVS,4.82,4.86
14428,2.01,Premium,I,SI,8.11,8.06
14842,1.32,Very Good,F,IF,6.97,7.01
7457,1.07,Very Good,G,VVS,6.55,6.59
2949,0.99,Fair,J,SI,6.57,6.5
15805,2.06,Very Good,G,SI,8.22,8.26
8392,1.31,Ideal,H,VS,7,6.98
1712,0.5,Ideal,D,VS,5.07,5.1
2391,0.77,Very Good,I,VS,5.86,5.7
2420,0.72,Ideal,I,VVS,5.73,5.78
1857,0.53,Ideal,D,VS,5.21,5.25
436,0.25,Very Good,E,VS,4.1,4.15
3783,0.73,Ideal,G,VVS,5.82,5.86
15993,2.53,Ideal,J,SI,8.78,8.74
8365,1.53,Premium,H,SI,7.34,7.31
13134,2,Premium,H,SI,8.13,8.1
15562,2.01,Premium,G,SI,8.19,8.15
14386,1.62,Ideal,F,VS,7.58,7.53
1781,0.51,Premium,G,VS,5.11,5.1
4831,1.2,Ideal,J,SI,6.79,6.87
6639,1.2,Ideal,I,VS,6.76,6.81
2012,0.52,Premium,G,VVS,5.16,5.14
4884,1.02,Premium,H,SI,6.58,6.51
817,0.3,Ideal,D,VS,4.28,4.33
1147,0.5,Very Good,F,SI,5.08,5.12
504,0.24,Ideal,H,VVS,4.02,4.05
511,0.33,Ideal,H,SI,4.5,4.53
530,0.23,Very Good,E,VVS,3.96,3.99
625,0.28,Ideal,D,VS,4.2,4.16
693,0.33,Very Good,E,SI,4.45,4.42
4315,1.15,Ideal,H,SI,6.83,6.8
761,0.31,Ideal,H,IF,4.38,4.4
4234,1.2,Ideal,J,SI,6.74,6.64
6636,1.69,Ideal,H,I,7.61,7.66
1963,0.56,Ideal,D,VS,5.28,5.33
1132,0.58,Ideal,I,SI,5.35,5.39
1061,0.41,Ideal,I,VVS,4.8,4.77
3495,0.72,Very Good,E,VVS,5.73,5.76
4592,0.9,Very Good,H,VS,6.12,6.17
744,0.38,Ideal,I,VVS,4.69,4.71
18325,2.49,Premium,I,SI,8.76,8.7
4668,0.9,Very Good,D,VS,6.06,6.13
3257,0.72,Ideal,H,IF,5.76,5.8
935,0.41,Ideal,E,VS,4.75,4.79
10711,1.55,Very Good,I,VS,7.56,7.63
6257,1.01,Ideal,D,SI,6.42,6.45
6843,1.01,Premium,E,VS,6.36,6.41
1691,0.71,Fair,G,SI,5.54,5.49
3541,0.64,Very Good,E,VVS,5.51,5.53
2207,0.71,Premium,H,SI,5.75,5.68
2141,0.71,Ideal,I,VS,5.77,5.81
4252,1.04,Premium,I,SI,6.45,6.39
8745,1.02,Very Good,E,VVS,6.53,6.57
432,0.3,Good,H,SI,4.27,4.29
3564,0.8,Ideal,D,SI,5.88,5.92
1100,0.38,Ideal,E,VVS,4.67,4.72
1020,0.32,Ideal,G,IF,4.42,4.4
995,0.34,Premium,H,VVS,4.49,4.45
1571,0.57,Ideal,F,SI,5.37,5.34
4084,1.11,Very Good,J,SI,6.56,6.49
4185,1.01,Very Good,H,SI,6.62,6.58
1026,0.38,Premium,F,VS,4.72,4.67
2897,0.72,Ideal,E,SI,5.69,5.74
529,0.38,Good,I,SI,4.63,4.57
898,0.42,Premium,H,SI,4.79,4.76
5531,1.13,Very Good,I,VS,6.72,6.75
1772,0.6,Ideal,H,VS,5.44,5.46
6288,1.01,Very Good,F,VS,6.48,6.51
2438,0.96,Fair,G,SI,6.01,5.81
561,0.32,Ideal,G,VS,4.39,4.41
1031,0.5,Fair,F,SI,5.06,4.92
2545,0.81,Very Good,G,SI,5.87,5.92
648,0.32,Ideal,H,VS,4.4,4.38
984,0.33,Ideal,E,VVS,4.45,4.51
4029,0.71,Ideal,D,VS,5.71,5.74
1606,0.57,Premium,J,VS,5.37,5.36
5669,1.2,Premium,H,SI,6.8,6.72
716,0.32,Ideal,F,VS,4.39,4.42
3759,0.72,Ideal,F,VS,5.82,5.85
1315,0.53,Ideal,E,SI,5.23,5.21
1063,0.35,Ideal,D,VS,4.54,4.5
5723,1,Good,G,VS,6.25,6.35
4124,0.9,Very Good,F,VS,6.11,6.17
7877,1.54,Very Good,E,SI,7.56,7.59
975,0.4,Premium,E,VS,4.73,4.65
7415,1.07,Very Good,D,VS,6.51,6.59
714,0.37,Very Good,I,VVS,4.64,4.68
814,0.3,Ideal,D,VVS,4.27,4.3
6198,1.19,Premium,H,VS,6.81,6.76
367,0.2,Premium,D,VS,3.73,3.68
726,0.31,Ideal,G,VVS,4.33,4.35
4785,1.2,Very Good,I,SI,6.82,6.76
4124,0.71,Ideal,E,VVS,5.7,5.72
4475,1.31,Premium,J,SI,7.11,7.06
707,0.39,Ideal,F,SI,4.73,4.77
10550,1.57,Ideal,E,SI,7.52,7.44
11166,1.51,Very Good,H,VS,7.25,7.28
4724,1,Premium,H,SI,6.41,6.32
1000,0.43,Good,H,VVS,4.91,4.93
561,0.32,Premium,G,VS,4.42,4.45
6036,1.03,Very Good,G,VS,6.41,6.48
2875,0.77,Ideal,H,SI,5.84,5.9
6964,1.01,Ideal,G,VS,6.41,6.44
2551,0.7,Ideal,D,SI,5.78,5.81
1030,0.41,Premium,E,VS,4.79,4.77
4662,1.02,Premium,I,VS,6.54,6.5
1058,0.39,Very Good,F,VVS,4.65,4.61
1046,0.31,Ideal,G,VVS,4.39,4.35
7458,1.01,Ideal,E,VS,6.52,6.5
8836,1.51,Very Good,I,VS,7.29,7.35
1940,0.7,Very Good,F,SI,5.7,5.77
11237,1.31,Ideal,F,VS,7.04,7.02
12944,2.3,Good,I,SI,8.4,8.35
2805,0.74,Fair,F,VS,5.82,5.75
11613,1.59,Very Good,G,SI,7.42,7.49
3024,0.75,Premium,D,SI,5.96,5.93
5135,1.14,Premium,F,SI,6.65,6.67
540,0.35,Ideal,J,VVS,4.53,4.55
1429,0.52,Ideal,D,SI,5.14,5.18
5147,1.01,Ideal,D,SI,6.52,6.38
1764,0.59,Very Good,F,VS,5.35,5.42
774,0.43,Premium,D,SI,4.8,4.84
898,0.42,Premium,D,SI,4.83,4.77
5152,1,Premium,G,SI,6.51,6.45
1338,0.52,Very Good,G,SI,5.11,5.08
891,0.38,Ideal,F,VS,4.69,4.73
2396,1.21,Fair,I,I,6.65,6.59
8366,1,Ideal,G,VVS,6.43,6.39
702,0.3,Good,E,VVS,4.28,4.34
625,0.31,Premium,F,VS,4.44,4.47
1069,0.7,Fair,G,I,5.59,5.37
421,0.32,Good,I,SI,4.3,4.33
3091,0.72,Ideal,E,VS,5.79,5.82
988,0.31,Ideal,G,IF,4.38,4.37
756,0.42,Very Good,D,SI,4.85,4.89
10490,2.01,Very Good,J,SI,7.86,7.96
7929,1.51,Good,H,SI,7.22,7.26
4829,1.1,Premium,E,SI,6.77,6.65
679,0.43,Very Good,F,SI,4.88,4.91
958,0.42,Ideal,E,VS,4.77,4.8
1605,0.56,Ideal,I,VVS,5.31,5.34
13587,2.01,Fair,H,SI,7.77,7.68
12215,2.01,Good,H,SI,8.32,8.23
17162,2.51,Ideal,H,SI,8.72,8.67
7378,1.25,Premium,H,VS,6.96,6.92
17759,2.01,Very Good,E,SI,8.14,8.19
2266,0.61,Very Good,D,VS,5.45,5.48
628,0.32,Ideal,H,VVS,4.41,4.44
2224,0.72,Ideal,F,SI,5.75,5.79
3926,1.01,Good,H,SI,6.17,6.19
608,0.24,Very Good,F,VVS,3.98,4
2464,0.91,Premium,E,I,6.29,6.32
9257,1.05,Ideal,F,VVS,6.55,6.52
4435,0.9,Very Good,G,SI,6.15,6.2
2895,0.7,Ideal,G,VVS,5.71,5.75
8400,1.51,Ideal,I,SI,7.35,7.3
5665,1.09,Ideal,F,SI,6.56,6.61
9562,1.53,Ideal,H,SI,7.46,7.43
7854,2.5,Fair,G,I,8.48,8.44
4131,1.09,Ideal,J,VS,6.63,6.61
1282,0.52,Very Good,I,VS,5.17,5.19
7404,1.13,Premium,G,VS,6.91,6.84
666,0.33,Very Good,G,VS,4.38,4.43
403,0.33,Ideal,I,SI,4.49,4.5
2723,0.7,Ideal,G,VS,5.65,5.68
487,0.3,Ideal,G,SI,4.34,4.37
5771,1.29,Very Good,I,SI,6.88,6.92
3220,0.75,Very Good,F,VS,5.83,5.87
6089,1.31,Premium,H,SI,7.1,7.07
1104,0.5,Very Good,E,SI,5.07,5.12
992,0.42,Ideal,H,VS,4.79,4.72
727,0.33,Very Good,D,VS,4.48,4.51
1656,0.51,Premium,E,VS,5.12,5.17
605,0.3,Very Good,F,VS,4.25,4.3
828,0.4,Very Good,J,IF,4.68,4.71
8564,1.18,Ideal,G,VS,6.77,6.74
4362,1.08,Very Good,G,SI,6.65,6.72
1633,0.59,Ideal,E,SI,5.35,5.45
7062,1.51,Good,J,VS,7.27,7.24
3762,0.91,Very Good,H,SI,6.14,6.18
1345,0.62,Premium,G,SI,5.49,5.44
9118,1.06,Ideal,F,VVS,6.54,6.5
2203,0.51,Ideal,F,VVS,5.19,5.17
5324,1.21,Ideal,J,VS,6.81,6.86
2620,0.7,Ideal,I,VVS,5.72,5.75
844,0.53,Ideal,I,SI,5.22,5.26
3296,0.8,Ideal,H,VS,5.9,5.93
4668,0.9,Very Good,G,VVS,6.12,6.19
1995,0.7,Very Good,I,VS,5.64,5.6
1238,0.55,Very Good,E,SI,5.21,5.25
698,0.31,Very Good,E,SI,4.32,4.29
1024,0.41,Very Good,I,VVS,4.87,4.91
3204,0.7,Very Good,F,VVS,5.67,5.57
1622,0.61,Very Good,D,SI,5.42,5.45
13001,1.52,Very Good,E,VS,7.43,7.52
6340,1.5,Fair,H,SI,7.12,6.82
5378,1.01,Good,F,SI,6.29,6.33
753,0.41,Ideal,F,SI,4.76,4.79
620,0.32,Ideal,H,VS,4.36,4.38
11228,1.7,Ideal,I,SI,7.68,7.64
9620,1.5,Good,H,VS,7.14,7.17
734,0.31,Ideal,D,VS,4.36,4.38
2409,0.73,Very Good,E,SI,5.72,5.69
3284,0.71,Ideal,F,VS,5.78,5.81
664,0.31,Ideal,E,VS,4.37,4.4
1712,0.56,Good,F,VS,5.36,5.42
802,0.31,Ideal,F,VS,4.37,4.33
2155,0.77,Very Good,J,VS,5.83,5.87
2782,0.75,Very Good,D,SI,5.78,5.73
3915,1,Premium,H,SI,6.36,6.32
828,0.32,Ideal,G,VS,4.41,4.38
3977,1.23,Good,D,I,6.72,6.79
918,0.32,Ideal,G,IF,4.43,4.45
756,0.45,Fair,G,SI,4.73,4.5
2733,0.7,Ideal,H,VS,5.72,5.75
5068,1,Good,G,VS,6.24,6.33
5338,0.7,Ideal,E,VVS,5.69,5.73
4326,1.16,Premium,J,SI,6.75,6.68
4488,1.17,Ideal,I,SI,6.72,6.79
17533,2.02,Good,I,VS,8.13,8.21
2536,0.9,Fair,F,SI,5.89,5.82
4748,1.11,Premium,H,SI,6.82,6.76
6426,1.06,Ideal,D,SI,6.49,6.52
563,0.31,Ideal,G,SI,4.34,4.37
649,0.37,Ideal,E,SI,4.57,4.6
4284,1.07,Premium,E,SI,6.59,6.67
4392,1,Very Good,E,SI,6.38,6.41
723,0.42,Very Good,D,SI,4.85,4.89
683,0.41,Ideal,I,VS,4.79,4.83
16041,2.28,Very Good,I,SI,8.34,8.41
1713,0.52,Ideal,E,SI,5.17,5.2
1053,0.4,Premium,E,VS,4.69,4.72
3211,0.73,Premium,F,VS,5.79,5.75
9747,1.53,Premium,G,SI,7.4,7.31
1701,0.52,Ideal,D,VS,5.17,5.21
991,0.41,Very Good,D,VS,4.7,4.76
955,0.33,Ideal,F,VVS,4.44,4.46
3429,0.78,Very Good,F,VS,5.86,5.9
5956,1.19,Very Good,E,SI,6.9,6.97
2070,0.75,Premium,G,SI,5.99,5.89
6275,1,Good,E,SI,6.43,6.41
1324,0.58,Ideal,J,VS,5.31,5.35
657,0.26,Very Good,E,VVS,4.1,4.15
3313,1.02,Premium,H,SI,6.61,6.57
698,0.31,Ideal,G,VS,4.34,4.28
2294,0.55,Ideal,F,VVS,5.24,5.27
4591,1.05,Ideal,F,SI,6.56,6.64
2259,0.7,Ideal,F,SI,5.69,5.73
1775,0.53,Good,D,VS,5.22,5.28
1559,0.54,Very Good,E,SI,5.31,5.36
1749,0.98,Fair,G,I,6.13,6.02
4054,0.9,Very Good,E,SI,6.14,6.17
15937,1.7,Very Good,G,VS,7.53,7.62
921,0.42,Premium,G,VS,4.72,4.79
1848,0.7,Premium,D,SI,5.89,5.78
684,0.3,Ideal,G,VVS,4.29,4.32
10317,1.23,Ideal,G,VVS,6.81,6.84
15984,2,Very Good,H,SI,7.95,7.93
3597,1.01,Fair,F,SI,6.09,6.03
16797,2.4,Premium,F,SI,8.53,8.49
977,0.31,Ideal,F,VVS,4.39,4.37
2863,0.91,Good,I,VS,6.05,6.09
1158,0.4,Ideal,E,VVS,4.74,4.76
2037,0.73,Premium,J,VS,5.87,5.82
2745,0.51,Ideal,E,VVS,5.17,5.11
7281,1.09,Very Good,G,VS,6.68,6.71
5436,1.22,Ideal,G,SI,6.86,6.78
858,0.29,Ideal,F,VVS,4.32,4.29
648,0.32,Premium,H,VS,4.36,4.33
6002,2.03,Fair,H,I,7.91,7.85
18215,2.09,Very Good,I,VS,8.09,8.13
15488,1.52,Ideal,E,VS,7.42,7.32
2064,0.52,Very Good,F,VVS,5.12,5.16
13737,1.7,Premium,F,VS,7.54,7.45
17114,2.09,Ideal,I,SI,8.15,8.22
4617,1.01,Ideal,J,VS,6.46,6.5
2553,0.7,Ideal,E,VS,5.69,5.74
2762,0.8,Premium,F,SI,5.98,5.94
1708,0.51,Ideal,G,VS,5.16,5.19
988,0.38,Very Good,F,VS,4.75,4.79
3378,0.62,Ideal,G,IF,5.54,5.61
2234,0.7,Ideal,G,SI,5.67,5.69
6412,1.02,Ideal,F,VS,6.44,6.37
530,0.23,Very Good,E,VVS,4.03,4.08
2072,0.71,Very Good,G,SI,5.6,5.65
737,0.4,Ideal,E,SI,4.71,4.75
594,0.33,Premium,I,VS,4.44,4.4
4469,1,Premium,H,SI,6.45,6.34
3011,0.7,Ideal,F,VS,5.7,5.73
2347,0.75,Very Good,F,SI,5.7,5.74
6543,1.27,Ideal,E,VS,7.03,6.92
1994,0.71,Fair,G,SI,5.46,5.37
1050,0.4,Ideal,I,IF,4.75,4.71
2041,0.54,Ideal,G,VVS,5.24,5.26
1068,0.42,Ideal,H,VVS,4.79,4.8
874,0.31,Ideal,F,IF,4.31,4.34
4632,1.01,Good,F,SI,6.52,6.48
4903,1.03,Very Good,G,SI,6.41,6.37
841,0.48,Ideal,I,SI,5.04,5.07
4218,1,Good,G,SI,6.31,6.41
4902,0.94,Very Good,D,SI,6.41,6.51
6038,1.23,Premium,F,SI,6.91,6.84
16942,2.04,Premium,I,SI,8.14,8.07
15792,1.52,Good,E,VS,7.25,7.21
11951,2.03,Ideal,J,SI,7.99,8.03
4201,0.9,Ideal,H,VS,6.2,6.24
1786,0.54,Ideal,D,SI,5.3,5.27
16992,2.12,Premium,H,SI,8.47,8.43
709,0.3,Very Good,I,VVS,4.29,4.27
732,0.31,Ideal,D,SI,4.49,4.37
5022,1.09,Ideal,G,SI,6.6,6.55
7688,1.1,Ideal,G,VS,6.66,6.59
9133,1.23,Ideal,G,VS,6.96,6.91
3857,1.01,Very Good,E,SI,6.49,6.51
3713,1,Premium,G,SI,6.35,6.32
8947,1.17,Ideal,G,VVS,6.74,6.77
1168,0.4,Ideal,F,VVS,4.77,4.81
3842,0.74,Ideal,F,VVS,5.83,5.86
907,0.31,Ideal,G,VVS,4.36,4.33
502,0.31,Ideal,I,VS,4.38,4.39
824,0.31,Ideal,G,VS,4.4,4.35
14330,1.64,Premium,G,VS,7.52,7.49
3539,0.79,Very Good,E,VS,5.85,5.88
1106,0.5,Very Good,F,SI,5.06,4.98
706,0.35,Very Good,H,VVS,4.48,4.51
9801,1.64,Ideal,E,SI,7.67,7.64
16082,1.54,Very Good,F,VS,7.34,7.3
3180,0.72,Ideal,H,VVS,5.74,5.76
729,0.3,Fair,F,VS,4.44,4.39
8863,1.21,Ideal,E,SI,6.82,6.86
855,0.4,Good,I,VS,4.72,4.68
695,0.38,Ideal,G,SI,4.71,4.76
3035,0.78,Ideal,D,SI,5.87,5.89
1438,0.51,Ideal,E,SI,5.09,5.15
2700,0.91,Premium,I,SI,6.34,6.32
8163,1.01,Premium,G,VVS,6.49,6.45
4389,1,Good,H,SI,6.34,6.37
13824,1.22,Premium,E,VVS,6.87,6.85
1253,0.44,Premium,F,VVS,4.89,4.85
5405,1.27,Ideal,F,SI,6.95,6.9
7273,1.7,Ideal,H,SI,7.68,7.63
6597,1.02,Very Good,D,VS,6.41,6.47
1401,0.52,Ideal,H,VS,5.19,5.24
752,0.33,Very Good,G,VVS,4.43,4.5
778,0.32,Very Good,F,VVS,4.38,4.41
